code,cities_list
a50f416a89,",albuquerque-nm,atlanta-ga,boston-ma,charlotte-nc,chicago-il,cleveland-oh,dallas-fort-worth-tx,denver-co,detroit-mi,indianapolis-in,kansas-city-ks,las-vegas-nv,los-angeles-ca,nashville-tn,new-orleans-la,new-york-city-ny,omaha-ne,orlando-fl,phoenix-az,portland-or,richmond-va,salt-lake-city-ut,san-antonio-tx,san-francisco-ca,seattle-wa"
city_name,date,price
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
city_name,date,price
All,2023-10-16 03:00:00,2.79
"San Francisco, CA",2023-10-16 03:00:00,3.42
"San Antonio, TX",2023-10-16 03:00:00,2.62
"Portland, OR",2023-10-16 03:00:00,2.75
"Richmond, VA",2023-10-16 03:00:00,2.59
"New York City, NY",2023-10-16 03:00:00,2.64
"Orlando, FL",2023-10-16 03:00:00,2.62
"Salt Lake City, UT",2023-10-16 03:00:00,2.72
"Seattle, WA",2023-10-16 03:00:00,3.05
"Omaha, NE",2023-10-16 03:00:00,2.94
"Los Angeles, CA",2023-10-16 03:00:00,3.68
"Las Vegas, NV",2023-10-16 03:00:00,3.14
"Kansas City, KS",2023-10-16 03:00:00,2.59
"Indianapolis, IN",2023-10-16 03:00:00,2.56
"New Orleans, LA",2023-10-16 03:00:00,2.55
"Phoenix, AZ",2023-10-16 03:00:00,3.23
"Nashville, TN",2023-10-16 03:00:00,2.54
"Detroit, MI",2023-10-16 03:00:00,2.7
"Denver, CO",2023-10-16 03:00:00,2.7
"Chicago, IL",2023-10-16 03:00:00,2.68
"Cleveland, OH",2023-10-16 03:00:00,2.73
"Atlanta, GA",2023-10-16 03:00:00,2.59
"Boston, MA",2023-10-16 03:00:00,2.65
"Albuquerque, NM",2023-10-16 03:00:00,2.77
"Dallas/Fort Worth, TX",2023-10-16 03:00:00,2.66
"Charlotte, NC",2023-10-16 03:00:00,2.53
